编号,原文（法语）,类型,伪装对象,诈骗手法,判定依据,是否钓鱼,来源,备注
示例246,"De: « R. Hartmann, Private Banking »
Objet: Compte dormant - Proposition confidentielle

Cher(e) Monsieur/Madame,

Je suis Richard Hartmann, directeur du département Succession et Comptes Dormants chez UBS Private Banking, Zurich. Un de nos clients français, décédé en 2023, a laissé un compte d'investissement d'une valeur de 8,3 millions EUR sans héritier déclaré.

Après vérification, votre nom de famille correspond à celui du défunt. Je vous propose de vous désigner comme parent proche et bénéficiaire légitime. Les fonds seront partagés : 60 % pour vous, 40 % pour moi.

Cette opération est strictement confidentielle et sans risque. Merci de me répondre pour que je vous communique les détails.

Cordialement,
Richard Hartmann",邮件,UBS Private Banking银行家Richard Hartmann,冒充瑞士银行家称有830万无主账户，以60/40分成引诱受害者参与,以同姓为由冒充亲属；要求保密；银行不会通过邮件陌生人分享账户；后续将索要手续费,是,iarnaque.fr - https://iarnaque.fr/arnaques/email/arnaque-faux-heritage,B级第三方来源；419 scam/假银行家
示例247,"De: facture@free-service.com
Objet: URGENT - Facture impayée de 89,99€

""Payez sous 24h ou votre ligne sera coupée""
Lien vers: free-paiement.site",邮件,Free,冒充Free催缴89.99欧元欠费，威胁24小时停机,发件域free-service.com非官方（官方free.fr）；free-paiement.site非官方；威胁停机为施压手段,是,mailarnaque.fr - https://www.mailarnaque.fr/phishing/marque/free,B级第三方来源；变体
示例248,"De: facture@bouyguestelecom-service.com
Objet: URGENT - Facture impayée de 89,99€

""Payez sous 24h ou votre ligne sera coupée""
Lien vers: bouyguestelecom-paiement.site",邮件,Bouygues Telecom,冒充Bouygues催缴89.99欧元欠费威胁停机,发件域非官方（官方bouyguestelecom.fr）；付款链接指向非官方域名；24小时威胁,是,mailarnaque.fr - https://www.mailarnaque.fr/phishing/marque/bouygues-telecom,B级第三方来源；与Free样本同模板变体
示例249,"De: AMELI
Votre carte Vitale expire le 15/02. Pour eviter
l'interruption de vos droits, renouvelez-la sur:
carte-vitale-ameli.fr/renouvellement",短信,Ameli/Assurance Maladie,冒充医保称Vitale卡即将过期需在线更新,Carte Vitale无过期日期；éviter缺重音符；域名carte-vitale-ameli.fr非官方,是,mailarnaque.fr - https://www.mailarnaque.fr/blog/analyser-sms-frauduleux,B级第三方来源；smishing
示例250,"De: +33 7 89 01 23 45
Votre colis est en attente au point relais.
Confirmez la livraison: https://bit.ly/3xYz123",短信,快递公司（未具名）,从手机号发送包裹待取通知，使用短链接,来自07手机号而非短号；无包裹追踪号；使用bit.ly短链接,是,mailarnaque.fr - https://www.mailarnaque.fr/blog/analyser-sms-frauduleux,B级第三方来源；smishing
示例251,Votre nouvelle carte vitale est disponible. Remplissez ce formulaire afin de rester couvert :,短信,Ameli/Assurance Maladie,称新Carte Vitale已就绪需填写表格以保持医保覆盖,Carte Vitale更新通过药房或ameli.fr应用；不通过短信链接填写表格；Cybermalveillance.gouv.fr记录此原文措辞,是,mailarnaque.fr - https://mailarnaque.fr/phishing/marque/ameli,B级第三方来源；Cybermalveillance.gouv.fr记录原文；smishing
示例252,Votre carte vitale arrive à expiration. Veuillez la mettre à jour sous 48h via :,短信,Ameli/Assurance Maladie,称Carte Vitale即将过期需48小时内更新,Carte Vitale不会过期；48小时人为时限；Cybermalveillance.gouv.fr记录此原文措辞,是,mailarnaque.fr - https://mailarnaque.fr/phishing/marque/ameli,B级第三方来源；Cybermalveillance.gouv.fr记录原文；smishing；变体
示例253,"Expiration de votre carte vitale, à mettre a jour impérativement",短信,Ameli/Assurance Maladie,称Carte Vitale到期必须更新,mise a jour缺省音符（原文即如此）；Carte Vitale无有效期；Cybermalveillance.gouv.fr记录此原文措辞及拼写错误,是,mailarnaque.fr - https://mailarnaque.fr/phishing/marque/ameli,B级第三方来源；Cybermalveillance.gouv.fr记录原文；原文拼写错误保留；smishing；变体
示例254,ASSURANCE MALADIE : Renouvellement obligatoire de votre Carte Vitale à effectuer avant le,短信,Assurance Maladie,要求在截止日期前强制更新Carte Vitale,无强制更新日期；全大写制造紧迫感；Cybermalveillance.gouv.fr记录此原文措辞,是,mailarnaque.fr - https://mailarnaque.fr/phishing/marque/ameli,B级第三方来源；Cybermalveillance.gouv.fr记录原文；smishing；变体
示例255,"Bonjour, votre colis Colissimo n 6C 048 372 841 FR est en attente de confirmation d'adresse. Mettez a jour vos informations avant le 21/03 pour eviter le retour a l'expediteur : colissimo-suivi.fr/6C048",短信,Colissimo,AI生成的高度逼真短信：含伪造追踪号6C048372841FR和合理截止日期,域名colissimo-suivi.fr非官方；a jour/éviter/expéditeur缺重音符；追踪号需在laposte.fr验证,是,mailarnaque.fr - https://www.mailarnaque.fr/blog/smishing-evolution-techniques-2026,B级第三方来源；AI生成变体；smishing
示例256,"Opération suspecte détectée, confirmez votre identité",短信,银行,冒充银行称检测到可疑操作需确认身份,银行通过官方应用通知，不通过短信链接要求确认身份；此为smishing top 5常见模板,是,mailarnaque.fr - https://www.mailarnaque.fr/blog/smishing-evolution-techniques-2026,B级第三方来源；smishing
示例257,Vous avez une amende impayée de 35 EUR,短信,ANTAI/交通罚款,冒充交通管理部门称有35欧元未缴罚款,罚款通过amendes.gouv.fr缴纳，从不短信链接；此为smishing常见模板,是,mailarnaque.fr - https://www.mailarnaque.fr/blog/smishing-evolution-techniques-2026,B级第三方来源；smishing
示例258,Vous avez un remboursement en attente,短信,税务局/Impôts,冒充税务局称有退税待领取,退税自动打入已知银行账户，不通过短信链接；此为smishing常见模板,是,mailarnaque.fr - https://www.mailarnaque.fr/blog/smishing-evolution-techniques-2026,B级第三方来源；smishing
示例259,Votre code de vérification WhatsApp est 847293. Ne le partagez pas,短信,WhatsApp,冒充WhatsApp验证码，实际诱骗受害者分享验证码以盗取账号,验证码不应通过此方式索取；攻击者以此号码登录受害者WhatsApp；新兴smishing类型,是,mailarnaque.fr - https://www.mailarnaque.fr/blog/smishing-evolution-techniques-2026,B级第三方来源；账号盗取；smishing
示例260,"Maman, j'ai perdu mon téléphone. J'ai besoin que tu m'achètes des cartes Apple d'urgence",短信,受害者子女,冒充子女称手机丢失紧急需要Apple礼品卡,任何要求礼品卡支付的都是诈骗；应通过已知号码电话确认；无任何合法机构接受礼品卡支付,是,mailarnaque.fr - https://www.mailarnaque.fr/scam/arnaque-carte-cadeau,B级第三方来源；亲人求助诈骗；smishing
示例261,"Papa, je suis coincé à l'étranger, mon compte est bloqué, envoie-moi des codes Steam",短信,受害者子女,冒充子女称在国外被困账户冻结需要Steam卡密码,Steam卡为不可追踪支付方式；子女身份需通过电话核实；任何要求礼品卡/Steam码的都是诈骗,是,mailarnaque.fr - https://www.mailarnaque.fr/scam/arnaque-carte-cadeau,B级第三方来源；亲人求助诈骗；smishing
示例262,Cher client votre colis est en attente payer les frais ici www.faux-site.com,短信,快递公司（未具名）,经典旧式smishing：语法粗糙，称包裹待取需付费用,语法错误无标点；通用称呼Cher client；指向www.faux-site.com示例假网站；为传统smishing模板,是,mailarnaque.fr - https://www.mailarnaque.fr/blog/smishing-evolution-techniques-2026,B级第三方来源；传统smishing对照样本
示例263,"Bonjour, c'est Julie de la société X. Êtes-vous bien M./Mme [nom] ?",短信,Julie（虚构企业联系人）,会话式smishing：先以正常对话建立信任，后续引入诈骗链接,陌生人主动联系确认身份；通过对话建立惯性后引入诈骗；此为2026年新兴smishing技术,是,mailarnaque.fr - https://www.mailarnaque.fr/blog/smishing-evolution-techniques-2026,B级第三方来源；会话式smishing；新兴手法
示例264,Nous avons des images compromettantes de vous,短信,敲诈者（sextorsion）,短信敲诈：称掌握受害者不雅视频/图片，附带恶意链接,短信sextorsion为新兴类型；附带链接为恶意软件；不应回复或点击,是,mailarnaque.fr - https://www.mailarnaque.fr/blog/smishing-evolution-techniques-2026,B级第三方来源；sextorsion SMS；smishing
示例265,"Bonjour,

Un virement de 1 890,00 EUR a été initié depuis votre compte vers le bénéficiaire suivant : Marco R. (IT68 S054 2811 1010 0000 0123 456).

Si vous n'êtes pas à l'origine de cette opération, annulez-la immédiatement :

[Annuler ce virement]

Passé un délai de 2 heures, le virement sera irrévocable.",邮件,Banque Populaire,"Faux virement initié, panique pour voler les identifiants sur faux site bancaire","Domaine frauduleux banquepopulaire-notif.fr, urgence de 2h, les banques n'annulent pas un virement par email",是,mailarnaque.fr - https://www.mailarnaque.fr/blog/exemples-emails-frauduleux-france,Catalogue d'exemples réels d'emails frauduleux en France
示例266,"Madame, Monsieur,

Le prélèvement SEPA de 127,40 EUR présenté le 15/03/2026 (Réf. PRLV-2026-98271) a été rejeté par votre établissement bancaire pour provision insuffisante.

Afin d'éviter des frais d'impayé (15,00 EUR) et une interruption de service, veuillez mettre à jour votre moyen de paiement :

[Régulariser mon prélèvement]",邮件,Centre de prélèvement / organisme créancier,Faux rejet de prélèvement SEPA pour voler les coordonnées bancaires,"Domaine générique sepa-recouvrement.eu, aucun nom de créancier, menace de frais 15 EUR",是,mailarnaque.fr - https://www.mailarnaque.fr/blog/exemples-emails-frauduleux-france,Exemple de phishing prélèvement SEPA
示例267,"Cher(e) locataire,

Nous vous informons que nos coordonnées bancaires ont changé suite à une restructuration interne. Veuillez noter notre nouveau RIB pour le virement de votre prochain loyer :

IBAN : FR76 3000 4028 3700 0100 0943 267 BIC : BNPAFRPPXXX

Merci de bien vouloir mettre à jour vos virements automatiques dès maintenant.

Cordialement, Cabinet Martin",邮件,Cabinet Martin - Gestion immobilière (bailleur),Arnaque au faux changement de RIB pour détourner le loyer,"Changement de RIB par simple email, domaine proche cabinet-martin-immo.fr vs cabinet-martin.fr, aucune confirmation par autre canal",是,mailarnaque.fr - https://www.mailarnaque.fr/blog/exemples-emails-frauduleux-france,Faux RIB / changement coordonnées bancaires
示例268,"Bonjour,

Après analyse de vos derniers remboursements, un montant de 143,80 EUR reste à vous verser. Pour le recevoir, veuillez mettre à jour vos coordonnées bancaires :

[Mettre à jour mes coordonnées]

Important : Ce remboursement sera annulé après le 22/03/2026 si vos coordonnées ne sont pas confirmées.

Votre Assurance Maladie",邮件,Ameli / Assurance Maladie,Faux remboursement de soins pour voler le RIB,"Domaine ameli-assurance.com (vrai: assurance-maladie.ameli.fr), Ameli ne demande jamais de RIB par email, urgence 22/03/2026",是,mailarnaque.fr - https://www.mailarnaque.fr/blog/exemples-emails-frauduleux-france,"Phishing Ameli, marque la plus usurpée en France"
示例269,"Bonjour,

Suite à la revalorisation des aides sociales 2026, vous êtes éligible à une prime d'activité exceptionnelle de 312,00 EUR.

Pour en bénéficier, confirmez votre dossier avant le 20/03/2026 :

[Valider ma prime d'activité]

Caisse d'Allocations Familiales",邮件,CAF (Caisse d'Allocations Familiales),Fausse prime d'activité pour voler données personnelles et bancaires,"Domaine caf-allocations.fr (vrai: caf.fr), primes jamais attribuées par clic dans email, urgence 20/03/2026",是,mailarnaque.fr - https://www.mailarnaque.fr/blog/exemples-emails-frauduleux-france,Phishing CAF
示例270,"Bonjour,

Votre carte nationale d'identité (n° XXX) arrive à expiration le 15/04/2026.

Pour faciliter votre renouvellement, effectuez votre pré-demande en ligne et recevez votre nouveau titre en 15 jours :

[Faire ma pré-demande]

Frais de traitement accéléré : 29,90 EUR

Service France Identité",邮件,France Identité / administration,Faux renouvellement CNI avec frais de traitement payants,"Domaine france-identite-gouv.fr (vrai: france-identite.gouv.fr), la CNI est gratuite en France, pas de frais de dossier par email",是,mailarnaque.fr - https://www.mailarnaque.fr/blog/exemples-emails-frauduleux-france,Faux renouvellement carte d'identité
示例271,"Bonjour,

Merci pour votre commande ! Votre iPhone 15 Pro (489,99 EUR) sera expédié sous 24 heures.

Si vous n'êtes pas à l'origine de cette commande, annulez-la immédiatement :

[Annuler cette commande]

Amazon.fr - Service Clients",邮件,Amazon.fr,Fausse commande chère pour pousser à annuler et voler les identifiants,"Domaine amazon-commandes.fr (vrai: amazon.fr), produit cher 489,99 EUR pour panique, lien Annuler vers faux site",是,mailarnaque.fr - https://www.mailarnaque.fr/blog/exemples-emails-frauduleux-france,Phishing Amazon
示例272,"Bonjour,

L'acheteur a procédé au paiement de 45,00 EUR pour votre article ""Veste Zara taille M"".

Pour recevoir les fonds sur votre portefeuille Vinted, confirmez l'envoi :

[Confirmer et recevoir le paiement]

Vinted - Service des transactions",邮件,Vinted,Faux paiement reçu pour inciter le vendeur à confirmer et saisir ses identifiants,"Domaine vinted-secure.com (vrai: vinted.fr), Vinted gère les paiements en interne jamais par email séparé",是,mailarnaque.fr - https://www.mailarnaque.fr/blog/exemples-emails-frauduleux-france,Phishing marketplace Vinted
示例273,"Madame, Monsieur,

Sauf erreur de notre part, la facture n°FA-2026-0417 d'un montant de 2 340,00 EUR TTC reste impayée à ce jour.

Veuillez trouver ci-joint le duplicata de la facture.

[Facture-FA-2026-0417.pdf.exe]

Merci de procéder au règlement dans les meilleurs délais.",邮件,Comptabilité Durand SARL (faux fournisseur),Fausse facture impayée avec pièce jointe exécutable déguisée en PDF (malware),"Expéditeur inconnu, pièce jointe .pdf.exe déguisée, ton menaçant sans détails vérifiables",是,mailarnaque.fr - https://www.mailarnaque.fr/blog/exemples-emails-frauduleux-france,Phishing facture avec malware en pièce jointe
示例274,"Bonjour,

Le facteur s'est présenté à votre domicile le 16/03/2026 à 10h42, mais n'a pas pu vous remettre votre colis (personne présente).

Reprogrammez votre livraison gratuitement :

[Reprogrammer ma livraison]

Votre colis sera conservé 15 jours en bureau de poste.",邮件,La Poste,Faux avis de passage pour voler coordonnées ou coordonnées bancaires,"Domaine laposte-avis.fr (vrai: laposte.fr), les vrais avis de passage sont papier dans la boîte aux lettres, pas de numéro de colis vérifiable",是,mailarnaque.fr - https://www.mailarnaque.fr/blog/exemples-emails-frauduleux-france,Faux avis de passage La Poste
示例275,"Bonjour,

Votre mot de passe Microsoft 365 expire le 18/03/2026. Pour éviter toute interruption de service, renouvelez-le dès maintenant :

[Renouveler mon mot de passe]

Si vous ne renouvelez pas votre mot de passe, vous perdrez l'accès à Outlook, Teams et OneDrive.

Microsoft Corporation",邮件,Microsoft 365,Fausse expiration de mot de passe pour voler les identifiants professionnels,"Domaine microsoft365-alert.com (vrai: microsoft.com), les mots de passe Office 365 n'expirent pas automatiquement, menace de perte d'accès",是,mailarnaque.fr - https://www.mailarnaque.fr/blog/exemples-emails-frauduleux-france,Phishing Microsoft 365 professionnel
示例276,"Bonjour,

Votre espace iCloud a atteint 99,8 % de sa capacité. Si aucune action n'est prise, la synchronisation sera arrêtée et vos photos récentes seront définitivement supprimées.

Profitez de notre offre exceptionnelle : 50 Go supplémentaires pour seulement 0,99 EUR/mois :

[Augmenter mon stockage]",邮件,iCloud / Apple,"Faux stockage plein pour voler coordonnées bancaires via offre à 0,99 EUR","Domaine icloud-storage.com (vrai: apple.com), Apple ne supprime jamais les photos sans préavis prolongé, offre exceptionnelle comme appât",是,mailarnaque.fr - https://www.mailarnaque.fr/blog/exemples-emails-frauduleux-france,Phishing iCloud stockage plein
示例277,"Attention : Le nom de domaine mon-entreprise.fr expire le 20/03/2026.

Si le renouvellement n'est pas effectué, votre domaine sera mis aux enchères et pourra être acquis par un tiers.

[Renouveler mon domaine maintenant - 89,99 EUR/an]",邮件,Domain Registry Services (faux registrar),Fausse expiration de nom de domaine avec prix gonflé,"Expéditeur inconnu pas le registrar habituel (OVH/Gandi), prix 89,99 EUR/an vs 7-12 EUR réel pour un .fr, menace de mise aux enchères",是,mailarnaque.fr - https://www.mailarnaque.fr/blog/exemples-emails-frauduleux-france,Phishing expiration de domaine
示例278,"ATTENTION ! Votre protection Norton a expiré le 01/03/2026.

Notre dernière analyse a détecté 3 menaces critiques sur votre appareil :

- Trojan.GenericKD.47839212
- Spyware.Banker.Gen
- Adware.BrowserModifier

Renouvelez immédiatement votre protection pour supprimer ces menaces :

[Renouveler Norton - Offre -70% : 29,99 EUR/an]",邮件,Norton Security,Faux antivirus alertant de virus pour vendre un abonnement frauduleux ou malware,"Domaine norton-protection-alert.com, un antivirus ne communique pas ses alertes par email, noms de virus techniques pour impressionner, réduction agressive en alerte sécurité",是,mailarnaque.fr - https://www.mailarnaque.fr/blog/exemples-emails-frauduleux-france,Arnaque au faux antivirus Norton
示例279,"Bonjour,

Votre facture Orange de février 2026 (47,99 EUR) reste impayée. Sans régularisation sous 72 heures, votre ligne mobile sera suspendue.

[Régler ma facture]

Orange - Service Recouvrement",邮件,Orange,Fausse facture impayée avec menace de suspension de ligne,"Domaine orange-mobile.net (vrai: orange.fr), menace de suspension sous 72h, Orange envoie plusieurs relances par courrier avant suspension",是,mailarnaque.fr - https://www.mailarnaque.fr/blog/exemples-emails-frauduleux-france,Phishing opérateur Orange
示例280,"Bonjour,

Suite à l'extension des Zones à Faibles Émissions (ZFE) au 1er mars 2026, votre véhicule nécessite une vignette Crit'Air pour circuler.

Sans cette vignette, vous risquez une amende de 68 à 135 EUR.

[Commander ma vignette Crit'Air - 29,90 EUR]",邮件,Service Crit'Air,Fausse vignette Crit'Aire facturée 8 fois le tarif officiel,"Site officiel certificat-air.gouv.fr, vignette à 3,72 EUR vs 29,90 EUR demandé, urgence liée à la réglementation",是,mailarnaque.fr - https://www.mailarnaque.fr/blog/exemples-emails-frauduleux-france,Arnaque Crit'Air
示例281,"Bonjour,

Une mise à jour logicielle de votre compteur Linky est nécessaire. Pour programmer l'intervention d'un technicien, veuillez confirmer vos coordonnées et votre disponibilité :

[Programmer mon intervention]

Sans confirmation, votre compteur pourrait ne plus transmettre vos relevés.",邮件,Enedis - Compteur Linky,Fausse intervention Linky pour voler informations personnelles,"Domaine enedis-linky.com (vrai: enedis.fr), les mises à jour Linky sont automatiques à distance, Enedis ne demande jamais de confirmation par email",是,mailarnaque.fr - https://www.mailarnaque.fr/blog/exemples-emails-frauduleux-france,Phishing compteur Linky
示例282,"Madame, Monsieur,

Je suis Maître Jean-Pierre Dumont, notaire à Paris. Suite au décès de Mme Hélène Moreau le 14/01/2026, survenu sans descendance directe, mes recherches ont établi que vous figurez parmi les bénéficiaires de sa succession, estimée à 847 000 EUR.

Je vous prie de bien vouloir me contacter rapidement afin de procéder aux formalités de transfert. Des frais de dossier de 1 850 EUR seront nécessaires pour initier la procédure.

Dans l'attente de votre retour, veuillez agréer mes salutations distinguées.",邮件,Notaire Me Jean-Pierre Dumont,Arnaque à l'héritage (succession fantôme) demandant des frais de dossier,"Vous ne connaissez pas la défunte, un vrai notaire contacte par courrier recommandé, demande d'argent pour débloquer un héritage (les vrais frais sont déduits de la succession)",是,mailarnaque.fr - https://www.mailarnaque.fr/blog/exemples-emails-frauduleux-france,Arnaque à l'héritage / 419 scam
示例283,"Bonjour,

Je m'appelle Elena, j'ai 34 ans et je vis en Espagne. J'ai trouvé votre profil sur un annuaire professionnel et j'ai été touchée par votre parcours. J'aimerais beaucoup échanger avec vous si vous êtes ouvert(e) à de nouvelles rencontres amicales.

Je suis médecin humanitaire et je traverse une période difficile...",邮件,"Elena Vasquez, médecin humanitaire (faux profil)",Romance scam : contact flatteur non sollicité pour construire une relation avant demande d'argent,"Contact non sollicité d'inconnue flatteuse, histoire personnelle émouvante (médecin humanitaire), progression rapide vers relation intime",是,mailarnaque.fr - https://www.mailarnaque.fr/blog/exemples-emails-frauduleux-france,Arnaque sentimentale / romance scam
示例284,"FÉLICITATIONS !

Votre adresse email a été sélectionnée lors de notre tirage spécial et vous remportez la somme de 750 000,00 EUR !

Pour réclamer votre gain, envoyez-nous les informations suivantes :

- Nom complet
- Adresse postale
- Copie de pièce d'identité
- Coordonnées bancaires (IBAN)

Frais de transfert : 150,00 EUR (remboursés à la réception de vos gains)

Agent de réclamation : M. Robert Williams",邮件,Euro Millions Officiel,Faux gain à la loterie pour voler identité et IBAN contre frais de dossier,"Vous n'avez participé à aucun tirage, on ne gagne jamais à une loterie par email, demande de frais pour débloquer un gain",是,mailarnaque.fr - https://www.mailarnaque.fr/blog/exemples-emails-frauduleux-france,Arnaque à la loterie / tirage au sort
示例285,"Salut Jean-Marc,

Suite à notre réunion de mardi sur la migration des serveurs, j'ai besoin de tes identifiants de connexion au VPN pour effectuer les tests de charge ce weekend.

Peux-tu me les envoyer en retour ? On est un peu dans le rush avec le planning de migration qu'on a validé avec Stéphanie.

Merci, Thomas

Thomas Lefèvre | Directeur des Systèmes d'Information IT Services Pro | 01 45 XX XX XX",邮件,"Thomas Lefèvre, DSI (collègue supposé)",Spear phishing ciblé : demande d'identifiants VPN en se faisant passer pour un collègue,"Référence à des éléments réels (réunion, projet, noms), demande d'identifiants par email, ton décontracté, un pro IT ne demande jamais un mot de passe par email",是,mailarnaque.fr - https://www.mailarnaque.fr/blog/exemples-emails-frauduleux-france,Spear phishing ciblé professionnel
示例286,"Cher client,

Nous vous informons que votre compte Apple ID a été suspendu temporairement pour des raison de sécurité. Une activité suspecte a été détectée sur votre compte le 28/04/2026.

Pour éviter la suppression définitive de votre compte dans les 24 heures, vous devez confirmer votre identité immédiatement en cliquant sur le bouton ci-dessous.

[ Confirmer mon Apple ID ]

Si vous ne procédez pas à cette vérification dans les délais, votre compte sera fermer de manière permanente et vous perdrez l'accès à iCloud, App Store et tous les services Apple.

Cordialement,

L'équipe de sécurité Apple

Copyright © 2026 Apple Inc. Tous droits réservés.",邮件,Apple Support (apple-id-securite.info),Faux blocage Apple ID pour voler identifiants via fausse page de connexion,"Domaine apple-id-securite.info (jamais utilisé par Apple), fautes de français (raison/sera fermer), urgence 24h, menace de perte iCloud",是,aines.itcares.ca - https://aines.itcares.ca/article-arnaque-apple-id.html,"Faux Apple ID, texte mot pour mot basé sur exemples reçus 2025-2026"
示例287,"Nous sommes heureux de vous informer que votre iPhone 14 128 Go Midnight perdu a été localisé avec succès. Pour afficher l'emplacement actuel de votre appareil, veuillez cliquer sur le lien ci-dessous. Si vous n'avez pas lancé de rapport d'appareil perdu ou si vous pensez que ce message a été envoyé par erreur, veuillez l'ignorer ou contacter immédiatement notre équipe d'assistance.",短信,Apple Find My / équipe localisation,Phishing Find My : faux appareil localisé pour voler l'identifiant Apple via lien,"Détails du modèle extraits de l'écran de verrouillage de l'appareil, lien vers faux portail Find My, Apple ne contacte jamais par SMS pour signaler un appareil trouvé",是,technews.fr - https://technews.fr/2025/11/alerte-darnaque-par-phishing-ce-texte-nous-avons-trouve-votre-iphone-perdu-est-faux-et-vise-a-voler-votre-identifiant-apple.html,"Cité par NCSC suisse, phishing Find My iPhone"
示例288,"Bonjour, je m'appelle Sophia et je travaille au service du recrutement Amazon. Numéro d'employé : AMZ-7677

Nous avons examiné votre profil et estimons que vous correspondez parfaitement à notre offre d'emploi à distance, très bien rémunérée et peu exigeante. Ce poste est extrêmement simple : il consiste principalement à aider les vendeurs à optimiser leurs fiches produits afin d'améliorer leur présence en ligne.

- Emploi du temps ultra-flexible : seulement 60 à 90 minutes par jour, 4 jours par semaine
- Rémunération : 250 à 500 dollars par jour (salaire de base de 1 000 dollars pour chaque période de 4 jours travaillés)
- Avantages supplémentaires : accompagnement complet + 15 à 20 jours de congés annuels payés

Nous recherchons 20 personnes dès maintenant. Si vous avez au moins 25 ans et que vous souhaitez gagner facilement un revenu complémentaire, envoyez un SMS au 16172930958 pour plus d'informations.

Réf. 46499",短信,Amazon Recruiting (faux recruteur Sophia),Fausse offre d'emploi Amazon trop belle pour être vraie (task scam),"Message depuis adresse Hotmail générique, rémunération disproportionnée (250-500$/jour pour 60-90 min), Amazon ne recrute pas via Hotmail/SMS, pression 20 places",是,Malwarebytes (fr) - https://www.malwarebytes.com/fr/blog/scams/2026/06/watch-out-for-high-paying-low-effort-amazon-job-texts,"Faux recrutement Amazon, arnaque aux tâches"
示例289,"Bonjour Madame Martin, je suis Philippe Leblanc du service sécurité du Crédit Agricole. Nous avons détecté plusieurs tentatives de paiement suspectes sur votre carte. Pour votre sécurité, nous devons récupérer votre carte compromise. Un agent agréé passera chez vous dans l'heure.",语音,Crédit Agricole service sécurité,"Vishing + faux coursier : appel annonçant carte compromise, puis envoi d'un complice récupérer la carte et le code PIN","Aucune banque n'envoie de coursier à domicile, connaissance du nom de la victime, urgence d'1h, spoofing du numéro de la banque",是,iarnaque.fr - https://www.iarnaque.fr/arnaques/telephone/arnaque-faux-coursier-banque,"Vishing faux coursier bancaire, scénario 1"
示例290,"Monsieur Dupont, votre carte bancaire a été clonée. Des achats frauduleux sont en cours à l'étranger. Il est impératif de récupérer votre carte immédiatement pour stopper les opérations. Préparez votre carte et notez votre code PIN dans l'enveloppe que le coursier vous remettra.",语音,Banque (service fraude),"Vishing : carte clonée à l'étranger, demande de noter le code PIN pour le faux coursier","La banque bloque la carte à distance, jamais de coursier, le code PIN n'est jamais demandé ni connu de la banque",是,iarnaque.fr - https://www.iarnaque.fr/arnaques/telephone/arnaque-faux-coursier-banque,"Vishing, scénario carte clonée"
示例291,"Bonjour, brigadier Moreau de la police judiciaire. Nous enquêtons sur un réseau de fraude à la carte bancaire et votre carte fait partie des cartes compromises. Un officier va passer récupérer votre carte pour analyse. Veuillez préparer votre carte et votre code confidentiel.",语音,Brigadier de police judiciaire,Vishing usurpant la police pour récupérer la carte et le code PIN,"La police ne récupère jamais une carte bancaire à domicile pour analyse, usurpation d'autorité policière, demande du code confidentiel",是,iarnaque.fr - https://www.iarnaque.fr/arnaques/telephone/arnaque-faux-coursier-banque,Vishing faux policier
示例292,"ANTAI : FPS impayé réf. FPS-2026-4829. Montant : 35€. Évitez la majoration, payez sous 48h : stationnement-fps.fr/paiement",短信,ANTAI,Smishing faux forfait post-stationnement avec lien vers faux site amendes.gouv.fr,"L'ANTAI n'envoie jamais de SMS, domaine stationnement-fps.fr au lieu de amendes.gouv.fr, urgence 48h vs 45 jours réels",是,iarnaque.fr - https://www.iarnaque.fr/arnaques/sms/arnaque-faux-pv-stationnement,Smishing faux FPS stationnement
示例293,Service-stationnement : Contravention détectée le 17/03/2026. Régularisez sous 24h pour éviter la majoration à 75€ : fps-amendes.com,短信,Service stationnement (faux ANTAI),Smishing contravention avec menace de majoration 75€,"Domaine fps-amendes.com non officiel, urgence 24h, les vrais FPS donnent 45 jours",是,iarnaque.fr - https://www.iarnaque.fr/arnaques/sms/arnaque-faux-pv-stationnement,Smishing faux PV
示例294,Avis FPS : Votre véhicule AA-123-BB a fait l'objet d'un constat. Paiement en ligne : antai-stationnement.fr,短信,ANTAI (faux),"Smishing FPS avec immatriculation générique, lien vers faux site","Domaine antai-stationnement.fr (vrai: antai.fr / amendes.gouv.fr), pas de numéro de télépaiement vérifiable",是,iarnaque.fr - https://www.iarnaque.fr/arnaques/sms/arnaque-faux-pv-stationnement,Smishing quishing FPS
示例295,"Colissimo

Votre colis n°FR74391827 est en attente. Frais de douane : 2,49€. Réglez avant 24h : colissimo-livraison-fr.com",短信,Colissimo / La Poste,"Smishing colis bloqué avec frais de douane 2,49€ pour voler la CB","Domaine colissimo-livraison-fr.com (vrai: laposte.fr), urgence 24h, petit montant 2,49€ comme appât",是,toutsurlacyber.fr - https://toutsurlacyber.fr/faux-sms-arnaque-guide-complet/,Smishing colis Colissimo
示例296,"ANTAI

Hier 16:42

Contravention impayée de 35€. Évitez la majoration urgente. Régularisez maintenant : amendes-gouv-paiement.fr",短信,ANTAI,Smishing contravention 35€ vers faux site de paiement,"L'ANTAI n'envoie jamais de SMS, domaine amendes-gouv-paiement.fr au lieu de amendes.gouv.fr, urgence inventée",是,toutsurlacyber.fr - https://toutsurlacyber.fr/faux-sms-arnaque-guide-complet/,Smishing amende ANTAI
